USER,SKILLS,DOMAIN,LOCATION,experience
Aarav,Programming ,Retail,Meerut,4
Aisha,Web Development ,Manufacturing,Noida,6
Arjun,Mobile App Development ,Wholesale,Jaipur,2
Bhavna,Data Analysis ,E-commerce,Gurugram,7
Chetan,Database Management ,Finance,Delhi,1
Deepika,Cloud Computing ,Real Estate,Mumbai,3
Divya,Machine Learning and AI,Hospitality,Pune,0
Hrithik,Cybersecurity,Healthcare,Ranchi,5
Ishaan,DevOps,Technology,Mohali,4
Jaya,Network Administration,Transportation and Logistics,Kolkata,7
Kunal,Software Testing and Quality Assurance,Construction,Jaipur,2
Meera,IT Support,Entertainment,Bangalore,6
Neelam,UI/UX Design,Education,Chennai,0
Omkar,Digital Marketing,Agriculture,Lucknow,3
Pooja,Data Science,Energy,Amritsar,5
Rajat,Blockchain Development,Automotive,Agra,1
Rekha,Internet of Things (IoT),Consulting,Leh,6
Rohan,Game Development,Legal Services,Jammu,4
Sanya,Augmented Reality (AR) and Virtual Reality (VR),Marketing and Advertising,Kashmir,0
Sameer,Big Data and Hadoop,Environmental Services,Manesar,2
Shreya,Communication Skills,Food and Beverage,Hyderabad,3
Siddharth,Leadership,Telecommunications,New Delhi,7
Tanvi,Problem-Solving,Fashion and Apparel,Sonipat,1
Utkarsh,Creativity,Pharmaceuticals,Bhopal,5
Vani,Critical Thinking,Interior Design and Decor,Jhansi,7
Varun,Adaptability,Fitness and Wellness,Patna,4
Vidya,Time Management,Nonprofits,Dehradun,0
Yash,Project Management,Aerospace and Defense,Chandigarh,3
Zara,Cross Platform Development,Media and Publishing,Vishakhapatnam,6
Akash,Teamwork,Waste Management,Thiruvananthapuram,2
Ananya,Decision-Making,Renewable Energy,Gaya,1
Rishabh,Public Speaking,Music and Arts,Gandhinagar,5
Priya,Customer Service,Insurance,Udaipur,0
Virat,Negotiation,Retail,Ahmedabad,7
Neha,Sales and Marketing,Manufacturing,Rajkot,4
Jayant,Financial Literacy,Wholesale,Gwalior,2
Maya,Writing and Editing,E-commerce,Indore,6
Shivani,Presentation Skills,Finance,Nainital,3
Aryan,Conflict Resolution,Real Estate,Hamirpur,1
Gauri,Strategic Planning,Hospitality,Guwahati,5
Devendra,Interpersonal Skills,Healthcare,Kota,0
Ritu,Networking,Technology,Thiruvananthapuram,2
Nikhil,Organization,Transportation and Logistics,Vellore,7
Aarti,Research,Construction,Vijaywada,1
Kartik,Time Management,Entertainment,Amravati,6
Rani,Stress Management,Education,Ghaziabad,3
Mohan,Cross-Cultural Competence,Agriculture,Kanpur,5
Suman,Problem-Solving,Energy,Ambala,4
Harshita,Adaptability,Automotive,Ranchi,0
Arvind,Leadership,Consulting,Mysore,7
Navya,Critical Thinking,Legal Services,Manesar,1
Samar,Cross Platform Development,Marketing and Advertising,Hyderabad,3
Paritosh,Customer Service,Environmental Services,New Delhi,0
Parveen,Sales and Marketing,Food and Beverage,Sonipat,5
Devang,Public Relations,Telecommunications,Bhopal,4
Muskan,Conflict Resolution,Fashion and Apparel,Jhansi,7
Mansi,Negotiation,Pharmaceuticals,Patna,2
Kritika,Project Management,Interior Design and Decor,Dehradun,6
Anchal,Entrepreneurship,Fitness and Wellness,Chandigarh,0
Shrishti,Ethics and Integrity,Nonprofits,Vishakhapatnam,3
Janvi,Decision-Making,Aerospace and Defense,Thiruvananthapuram,5
Harshita,Time Management,Media and Publishing,Gaya,1
Umang,Financial Planning,Waste Management,Meerut,6
Deepak,Event Planning,Renewable Energy,Noida,4
Deepika,Coaching and Mentoring,Music and Arts,Jaipur,0
Rahul,Creative Thinking,Insurance,Gurugram,2
Ayush,Multilingualism,Medical,Delhi,3
Tina,Risk Management,Agriculture,Mumbai,7
Aadhya,Sales Strategy,Hospitality,Meerut,1
Ekansh,Flutter,Healthcare,Noida,5
Ishita,Mobile App Development ,Technology,Jaipur,7
Vivaan,Data Analysis ,Transportation and Logistics,Gurugram,4
Aarohi,Database Management ,Construction,Delhi,0
Pranav,Cloud Computing ,Entertainment,Mumbai,3
Avani,Machine Learning and AI,Education,Pune,6
Kavya,Cybersecurity,Agriculture,Ranchi,2
Nirav,DevOps,Energy,Mohali,1
Samaira,Network Administration,Automotive,Kolkata,5
Aarush,Software Testing and Quality Assurance,Consulting,Jaipur,0
Tanisha,IT Support,Legal Services,Bangalore,7
Rudra,UI/UX Design,Marketing and Advertising,Chennai,4
Ira,Digital Marketing,Environmental Services,Lucknow,2
Vihaan,Data Science,Food and Beverage,Amritsar,6
Anika,Blockchain Development,Telecommunications,Agra,3
Yuvraj,Internet of Things (IoT),Fashion and Apparel,Leh,1
Ayesha,Game Development,Pharmaceuticals,Jammu,4
Kabeer,Augmented Reality (AR) and Virtual Reality (VR),Interior Design and Decor,Kashmir,6
Ishika,Big Data and Hadoop,Fitness and Wellness,Manesar,2
Viha,Communication Skills,Aerospace and Defense,Hyderabad,7
Aarushi,Leadership,Media and Publishing,New Delhi,1
Hridya,Problem-Solving,Waste Management,Sonipat,3
Prisha,Creativity,Renewable Energy,Bhopal,0
